CNT;gender;mathematics;reading;science
TUR;Male;372,86;397,79;413,01
TUR;Female;446,69;448,86;463,50
TUR;Female;429,03;481,61;464,37
TUR;Female;405,04;416,74;348,92
TUR;Female;388,49;373,08;399,02
TUR;Male;574,34;562,59;571,94
TUR;Male;559,58;543,47;553,25
TUR;Male;333,06;283,80;339,09
TUR;Male;492,82;523,53;515,72
TUR;Male;430,53;415,21;453,53
TUR;Female;545,67;571,40;577,31
TUR;Male;392,86;343,39;379,37
TUR;Female;517,43;561,53;598,56
TUR;Female;437,89;499,14;469,51
TUR;Male;515,94;496,81;499,06
TUR;Female;323,86;316,05;296,72
TUR;Female;487,09;483,10;493,10
TUR;Female;597,74;561,06;611,60
TUR;Female;494,82;529,10;554,66
TUR;Male;616,26;621,06;663,92
TUR;Male;332,89;300,91;330,89
TUR;Male;445,89;399,86;460,48
TUR;Male;383,04;410,05;404,98
TUR;Male;438,59;472,69;482,23
TUR;Female;506,53;504,62;538,78
TUR;Male;418,94;437,75;454,05
TUR;Male;398,10;363,90;422,91
TUR;Female;434,47;546,05;480,31
TUR;Male;319,62;309,02;311,52
TUR;Female;608,82;565,77;627,71
TUR;Female;477,41;477,08;488,91
TUR;Female;401,33;445,04;432,91
TUR;Female;406,62;402,66;413,87
TUR;Male;463,60;456,85;461,08
TUR;Female;466,80;479,94;526,82
TUR;Male;410,20;424,17;411,86
TUR;Male;338,50;278,90;346,45
TUR;Female;407,47;381,73;395,72
TUR;Female;403,95;468,44;435,58
TUR;Female;418,83;471,09;464,45
TUR;Male;423,48;424,61;405,57
TUR;Female;342,24;383,90;376,44
TUR;Female;454,20;558,94;520,99
TUR;Female;470,81;458,79;505,20
TUR;Female;403,69;476,69;489,97
TUR;Male;491,75;405,81;498,95
TUR;Male;412,86;406,06;449,20
TUR;Male;400,98;396,63;398,50
TUR;Female;386,74;421,22;418,23
TUR;Male;494,58;445,99;546,72
TUR;Female;532,55;503,68;567,50
TUR;Male;359,74;337,53;392,74
TUR;Male;547,67;540,26;546,38
TUR;Female;508,06;554,08;566,63
TUR;Female;503,35;542,41;543,25
TUR;Female;387,84;461,36;422,35
TUR;Male;362,88;318,34;364,96
TUR;Male;410,07;428,34;452,22
TUR;Female;626,20;606,69;609,41
TUR;Female;479,99;455,23;475,75
TUR;Female;410,07;409,09;433,68
TUR;Female;467,62;542,08;482,63
TUR;Female;531,45;561,92;548,01
TUR;Male;500,13;400,59;514,21
TUR;Female;429,90;524,19;416,88
TUR;Female;524,93;547,16;562,16
TUR;Male;529,54;477,08;565,15
TUR;Female;358,70;458,75;400,26
TUR;Female;613,00;529,28;579,77
TUR;Male;490,28;488,28;527,69
TUR;Male;337,57;290,48;268,57
TUR;Male;433,46;482,08;446,31
TUR;Male;520,94;442,09;499,28
TUR;Female;436,87;458,58;461,74
TUR;Male;536,68;561,76;612,79
TUR;Female;432,45;446,11;465,51
TUR;Female;540,18;577,80;536,84
TUR;Male;443,09;458,52;479,34
TUR;Female;422,13;440,47;461,65
TUR;Female;478,64;485,58;513,77
TUR;Male;528,19;475,51;515,90
TUR;Male;633,29;577,76;627,39
TUR;Male;467,42;416,34;457,72
TUR;Male;410,55;403,31;428,24
TUR;Male;442,70;443,97;474,05
TUR;Female;468,93;550,08;524,46
TUR;Female;411,92;406,82;451,38
TUR;Female;497,42;503,04;526,62
TUR;Male;304,02;292,35;334,98
TUR;Female;465,22;503,98;541,46
TUR;Female;558,95;614,10;657,82
TUR;Male;427,72;439,30;482,46
TUR;Female;325,09;333,80;338,37
TUR;Female;335,78;316,33;351,10
TUR;Male;352,84;383,86;373,82
TUR;Male;471,94;428,21;432,10
TUR;Male;323,49;285,25;353,26
TUR;Female;516,03;513,36;544,53
TUR;Male;620,95;594,09;608,08
TUR;Female;393,71;393,09;425,40
TUR;Female;358,88;415,80;400,88
TUR;Male;551,73;565,00;565,76
TUR;Male;460,47;473,84;484,91
TUR;Male;423,91;376,95;415,96
TUR;Male;370,91;361,80;405,14
TUR;Male;341,27;380,43;392,06
TUR;Female;352,25;444,37;404,57
TUR;Female;435,18;472,68;513,44
TUR;Male;483,16;436,30;494,06
TUR;Female;478,55;517,71;553,22
TUR;Male;480,06;512,33;491,67
TUR;Male;477,27;498,91;502,49
TUR;Female;367,82;431,43;382,14
TUR;Male;481,18;454,83;536,37
TUR;Male;469,52;421,71;498,71
TUR;Female;555,50;543,41;569,55
TUR;Male;537,47;541,15;582,16
TUR;Male;495,04;447,84;511,62
TUR;Male;434,40;369,43;460,37
TUR;Female;511,45;535,04;520,60
TUR;Male;540,75;560,96;576,13
TUR;Female;543,85;564,86;571,55
TUR;Male;540,97;551,10;543,55
TUR;Male;421,88;379,53;414,50
TUR;Male;411,01;442,16;458,76
TUR;Male;477,94;461,36;491,24
